Date,Energy,Bond
29/01/2015,758.3,129.47
30/01/2015,753.02,129.36
02/02/2015,767.7,129.64
03/02/2015,784.83,130.03
04/02/2015,784.05,129.91
05/02/2015,788.46,129.99
06/02/2015,788.49,129.17
09/02/2015,785.81,129.15
10/02/2015,793.44,128.98
11/02/2015,788.26,128.72
12/02/2015,799.32,129.32
13/02/2015,804.5,129.5
16/02/2015,803.97,129.54
17/02/2015,803.23,129.27
18/02/2015,803.36,129.2
19/02/2015,798.13,129.27
20/02/2015,799.18,129.22
23/02/2015,800.87,129.23
24/02/2015,813.34,129.33
25/02/2015,819.98,129.76
26/02/2015,822.53,128.96
27/02/2015,822.95,129.02
02/03/2015,834.89,128.69
03/03/2015,843.46,128.6
04/03/2015,867.43,127.8
05/03/2015,905.23,127.71
06/03/2015,885.16,126.26
09/03/2015,868.32,126.42
10/03/2015,856.19,125.94
11/03/2015,854.98,125.25
12/03/2015,858.56,125.46
13/03/2015,852.67,124.75
16/03/2015,857.32,125.08
17/03/2015,860.58,125.2
18/03/2015,872.33,125.71
19/03/2015,871.22,125.68
20/03/2015,884.93,126.87
23/03/2015,888.93,127.65
24/03/2015,890.92,127.54
25/03/2015,886.44,127.86
26/03/2015,874.98,127.29
27/03/2015,875.26,127.19
30/03/2015,886.77,126.74
31/03/2015,891.45,126.47
01/04/2015,902.52,126.69
02/04/2015,911.33,127.26
03/04/2015,911.17,127.36
06/04/2015,917.79,128.38
07/04/2015,916.85,127.37
08/04/2015,927.73,127.06
09/04/2015,940.22,126.28
10/04/2015,941.92,125.94
13/04/2015,948.28,125.68
14/04/2015,944.45,126.64
15/04/2015,951.3,126.29
16/04/2015,953.3,127.1
17/04/2015,944.59,127.5
20/04/2015,935.35,127.26
21/04/2015,942.37,127.06
22/04/2015,949.65,126.66
23/04/2015,959.11,127.19
24/04/2015,953.71,127.64
27/04/2015,954.83,127.86
28/04/2015,959.46,128.46
29/04/2015,948.63,129.25
30/04/2015,939.41,128.96
01/05/2015,938,128.79
04/05/2015,945.56,128.19
05/05/2015,937.9,128.24
06/05/2015,937.46,128.94
07/05/2015,934.63,128.33
08/05/2015,952.5,128.46
11/05/2015,956.13,127.75
12/05/2015,951.12,128.12
13/05/2015,955.56,128.76
14/05/2015,957.99,129.06
15/05/2015,961.22,129.73
18/05/2015,958.59,129.06
19/05/2015,955.94,127.51
20/05/2015,930.01,127.39
21/05/2015,929.92,127.64
22/05/2015,929.49,126.97
25/05/2015,926.72,127.02
26/05/2015,919.68,126.43
27/05/2015,922,126.15
28/05/2015,915.61,126.43
29/05/2015,911.13,126.81
01/06/2015,910.52,126.08
02/06/2015,911.87,126.98
03/06/2015,912.92,127.16
04/06/2015,903.63,127.4
05/06/2015,899,126.07
08/06/2015,890.38,126.59
09/06/2015,877.14,126.63
10/06/2015,887.56,126.96
11/06/2015,892.3,126.95
12/06/2015,889.58,127.3
15/06/2015,880.36,127.18
16/06/2015,882.73,127.18
17/06/2015,886.51,127.12
18/06/2015,892.86,128.06
19/06/2015,884.16,127.95
22/06/2015,896.59,127.92
23/06/2015,901.88,126.68
24/06/2015,894.83,126.76
25/06/2015,886.51,126.75
26/06/2015,877.52,126.08
29/06/2015,851.13,126.59
30/06/2015,858.56,126.54
01/07/2015,859.65,125.97
02/07/2015,857.57,125.87
03/07/2015,852.9,125.96
06/07/2015,825.9,125.95
07/07/2015,808.86,125.32
08/07/2015,794.35,125.99
09/07/2015,821.4,125.59
10/07/2015,845.4,125.85
13/07/2015,855.92,125.14
14/07/2015,857.75,125.19
15/07/2015,845.98,125.2
16/07/2015,855.13,124.92
17/07/2015,851.37,124.71
20/07/2015,856.16,124.77
21/07/2015,855.63,125.24
22/07/2015,821.38,124.99
23/07/2015,815.22,125.46
24/07/2015,807.81,125.29
27/07/2015,794.16,126.11
28/07/2015,797.65,125.62
29/07/2015,815.97,125.6
30/07/2015,798.99,125.06
